epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15360.7,0.49548,0.51431,0.89082,0.99799,1,0.995,0.90735,0.47085,0.43314,0.78074,0.0011684,0.0011684,0.0011684
44,15466.1,0.46452,0.46538,0.89032,0.99807,1,0.995,0.92674,0.40767,0.39223,0.77468,0.0011486,0.0011486,0.0011486
45,15573.1,0.48885,0.47462,0.89506,0.99823,1,0.995,0.9213,0.39911,0.40168,0.77154,0.0011288,0.0011288,0.0011288
46,15676.8,0.44928,0.46751,0.8935,0.99866,1,0.995,0.94695,0.38739,0.40043,0.76531,0.001109,0.001109,0.001109
47,15780.5,0.48636,0.48426,0.8934,0.99879,1,0.995,0.94546,0.32136,0.38092,0.75467,0.0010892,0.0010892,0.0010892
48,15890.8,0.44628,0.43992,0.88474,0.99914,1,0.995,0.93742,0.40946,0.414,0.76515,0.0010694,0.0010694,0.0010694
49,15998.5,0.44915,0.44684,0.88032,1,0.99827,0.995,0.89313,0.42879,0.41023,0.7734,0.0010496,0.0010496,0.0010496
50,16110.3,0.48605,0.45981,0.91228,1,0.99977,0.995,0.95776,0.39007,0.37609,0.76755,0.0010298,0.0010298,0.0010298
51,16227.5,0.48582,0.479,0.90953,0.99813,1,0.995,0.93593,0.3621,0.37642,0.7702,0.00101,0.00101,0.00101
52,16347.6,0.45362,0.45434,0.89818,0.99884,1,0.995,0.96014,0.39515,0.41604,0.77603,0.0009902,0.0009902,0.0009902
53,16451.3,0.47492,0.45459,0.9251,1,0.94237,0.97967,0.92868,0.43832,0.46451,0.78765,0.0009704,0.0009704,0.0009704
54,16555.6,0.46137,0.44678,0.8836,0.99812,1,0.995,0.93727,0.41264,0.41244,0.78015,0.0009506,0.0009506,0.0009506
55,16662.2,0.42744,0.41617,0.88273,0.99814,1,0.995,0.95374,0.38324,0.38831,0.76754,0.0009308,0.0009308,0.0009308
56,16767.7,0.41698,0.40859,0.88252,0.99816,1,0.995,0.94277,0.4633,0.38406,0.77974,0.000911,0.000911,0.000911
57,16876.6,0.43713,0.44548,0.89316,0.99789,1,0.995,0.94651,0.42188,0.41062,0.76831,0.0008912,0.0008912,0.0008912
58,16986.2,0.45409,0.43363,0.89078,0.99652,1,0.995,0.94344,0.43207,0.39891,0.78242,0.0008714,0.0008714,0.0008714
59,17109.6,0.44351,0.4619,0.90464,0.99771,1,0.995,0.9413,0.40665,0.35484,0.77953,0.0008516,0.0008516,0.0008516
60,17234,0.41513,0.41062,0.86441,0.99393,1,0.995,0.93537,0.44982,0.39168,0.80412,0.0008318,0.0008318,0.0008318
61,17363.3,0.38182,0.39339,0.86785,0.99701,1,0.995,0.94427,0.48948,0.4329,0.81304,0.000812,0.000812,0.000812
62,17483.5,0.39571,0.39428,0.86704,0.99789,1,0.995,0.92807,0.45947,0.40063,0.78938,0.0007922,0.0007922,0.0007922
63,17602.1,0.36991,0.38933,0.87424,0.99755,1,0.995,0.96244,0.38168,0.35306,0.76291,0.0007724,0.0007724,0.0007724
64,17710,0.41162,0.40148,0.87949,0.99788,1,0.995,0.95996,0.32791,0.28639,0.74662,0.0007526,0.0007526,0.0007526
65,17819.2,0.38025,0.40041,0.86934,0.99804,1,0.995,0.95956,0.28637,0.29969,0.74277,0.0007328,0.0007328,0.0007328
66,17928.8,0.3687,0.39268,0.87448,0.99694,1,0.995,0.9564,0.29711,0.35021,0.7374,0.000713,0.000713,0.000713
67,18036.1,0.38621,0.38442,0.86697,0.9909,1,0.995,0.95003,0.37815,0.40183,0.75916,0.0006932,0.0006932,0.0006932
68,18145.2,0.37907,0.399,0.86775,0.99783,1,0.995,0.95188,0.3307,0.35507,0.74644,0.0006734,0.0006734,0.0006734
69,18252.9,0.37122,0.37541,0.87783,0.99785,1,0.995,0.94733,0.32111,0.31245,0.74356,0.0006536,0.0006536,0.0006536
70,18358.3,0.3722,0.38756,0.86514,0.9976,1,0.995,0.94846,0.32587,0.31306,0.74848,0.0006338,0.0006338,0.0006338
71,18483.7,0.36936,0.37537,0.87203,0.99812,1,0.995,0.93866,0.30256,0.2883,0.74968,0.000614,0.000614,0.000614
72,18590.1,0.37901,0.36919,0.87274,0.99835,1,0.995,0.94483,0.31906,0.30839,0.76328,0.0005942,0.0005942,0.0005942
73,18696,0.36185,0.36562,0.85703,0.99836,1,0.995,0.94407,0.32706,0.3354,0.77095,0.0005744,0.0005744,0.0005744
74,18808.4,0.36786,0.36379,0.87837,0.99827,1,0.995,0.94998,0.32194,0.32891,0.77281,0.0005546,0.0005546,0.0005546
75,18916.6,0.34555,0.34555,0.84985,0.99832,1,0.995,0.95002,0.29228,0.29014,0.7609,0.0005348,0.0005348,0.0005348
76,19031.7,0.35542,0.37994,0.86735,0.9983,1,0.995,0.9577,0.28572,0.28558,0.75369,0.000515,0.000515,0.000515
77,19142.9,0.3334,0.34443,0.86579,0.99812,1,0.995,0.95216,0.29462,0.28637,0.75198,0.0004952,0.0004952,0.0004952
78,19251.2,0.36236,0.35118,0.88518,0.99808,1,0.995,0.94489,0.28616,0.26847,0.74364,0.0004754,0.0004754,0.0004754
79,19359.8,0.33073,0.3248,0.85844,0.99819,1,0.995,0.95095,0.28156,0.25515,0.74361,0.0004556,0.0004556,0.0004556
80,19471.2,0.34101,0.34264,0.87178,0.99803,1,0.995,0.96008,0.2349,0.27235,0.73977,0.0004358,0.0004358,0.0004358
81,19582.7,0.32855,0.34369,0.85656,0.99816,1,0.995,0.96463,0.23388,0.28181,0.73938,0.000416,0.000416,0.000416
82,19691.8,0.33422,0.33977,0.8532,0.9983,1,0.995,0.97394,0.24908,0.2637,0.73946,0.0003962,0.0003962,0.0003962
83,19798.9,0.29843,0.30397,0.83789,0.99838,1,0.995,0.96058,0.27356,0.29278,0.74213,0.0003764,0.0003764,0.0003764
84,21532.3,0.30634,0.32313,0.84671,0.99838,1,0.995,0.96228,0.2829,0.30283,0.74459,0.0003566,0.0003566,0.0003566
85,21632.4,0.30536,0.30899,0.85938,0.99834,1,0.995,0.96894,0.281,0.31549,0.74204,0.0003368,0.0003368,0.0003368
86,48696.1,0.3251,0.3292,0.85939,0.99813,1,0.995,0.97118,0.27687,0.30206,0.73849,0.000317,0.000317,0.000317
87,48798.1,0.30273,0.31479,0.84683,0.99756,1,0.995,0.96596,0.25605,0.28314,0.73742,0.0002972,0.0002972,0.0002972
88,48901.7,0.31972,0.31115,0.86382,0.9981,1,0.995,0.97429,0.24609,0.25269,0.73897,0.0002774,0.0002774,0.0002774
89,49000.7,0.29911,0.3373,0.8549,0.99833,1,0.995,0.96705,0.24965,0.25224,0.73874,0.0002576,0.0002576,0.0002576
90,49101,0.28755,0.30362,0.85123,0.9984,1,0.995,0.97626,0.27127,0.28847,0.737,0.0002378,0.0002378,0.0002378
91,49975.9,0.24366,0.30866,0.80244,0.99846,1,0.995,0.97533,0.2761,0.30035,0.73715,0.000218,0.000218,0.000218
92,51792,0.23915,0.27055,0.79017,0.99849,1,0.995,0.97297,0.26895,0.30649,0.73564,0.0001982,0.0001982,0.0001982
93,51890.8,0.23742,0.27284,0.78036,0.9985,1,0.995,0.97508,0.24397,0.27279,0.73497,0.0001784,0.0001784,0.0001784
94,51990.8,0.22069,0.2614,0.78247,0.99849,1,0.995,0.97015,0.24789,0.26791,0.73513,0.0001586,0.0001586,0.0001586
95,52091,0.22587,0.25879,0.7976,0.99854,1,0.995,0.96287,0.24402,0.25406,0.73181,0.0001388,0.0001388,0.0001388
96,52190.8,0.23218,0.26996,0.80904,0.99851,1,0.995,0.96898,0.2304,0.26196,0.72727,0.000119,0.000119,0.000119
97,52289.8,0.21644,0.26348,0.77148,0.99851,1,0.995,0.96948,0.22265,0.26397,0.72681,9.92e-05,9.92e-05,9.92e-05
98,52391.4,0.2188,0.25826,0.79239,0.9985,1,0.995,0.96487,0.22608,0.26374,0.72717,7.94e-05,7.94e-05,7.94e-05
99,52491.3,0.21527,0.25031,0.76983,0.99844,1,0.995,0.96722,0.23389,0.26263,0.72837,5.96e-05,5.96e-05,5.96e-05
100,52591.8,0.20742,0.2399,0.79445,0.99845,1,0.995,0.96411,0.23084,0.26394,0.72859,3.98e-05,3.98e-05,3.98e-05
